Tweet,Clasificacion
"Mi apoyo total al proyecto de la 4ª transformación. Y quien yo creo que es la indicada para llevarlo a su segundo piso. Es @Claudiashein Si apoyas a la 4T apoyas a su coordinadora. Sin medias tintas, sin zigzaguear. ¡Defínete ya!",1
"No voy a anular mi voto, pero por @Claudiashein no voy a votar",0
Yo soy #Obradorista y voy con @Claudiashein #EsClaudiaPresidenta2024 Para darle continuidad alProyecto de la #CuartaTransformación,1
"No soporto a @Claudiashein, no voy a votar por ella, soy acérrima enemiga de la #4TdeCaca. Usar el término “Judía” de manera despectiva es un error. La derretida es de origen judío PERO NO ES PRACTICANTE ni pertenece a la #ComunidadJudia",0
Voy @Claudiashein por si tenían la duda,1
"Ahora si, ya se por quien voy a votar🥳🥳🥳 @Claudiashein #PlanC",1
"Voy a dejar de seguir quien promueva abstenerse de votar, quien insulte a integrantes de la #4ta. Bienvenidos nuevos seguidores pro @Claudiashein. Como dice mi presidente: Amor con amor se paga, no sabemos odiar, pero tampoco aguantamos patanerías.",1
Lo realmente increíble es que hay gente capaz de votar por Sheinbaum.,0
"Nadie está contento con las marranadas que hizo MORENA, y personalmente NO pienso votar por Claudia...Pero de eso a sugerir que es peor que el PRIAN, ya me parece totalmente absurdo y burdo.Ninguno de los dos es bueno, mucho menos el PRIAN",0
"Una es Dra y la otra es Botarga, la elección es muy sencilla!! A apoyar a la Dra Sheinbaum!! Que siga la 4T",1
"Gracias por apoyar a la Dra.@Claudiashein, hacen un excelente equipo.Por el bien de todos, primero el Proyecto de Nación. ",1
Vamos a apoyar a @Claudiashein para que continúe la transformación de México,1
Jajajaja quisieras saco de pus la próxima presidenta de Mexico será @Claudiashein VAMOS CON VOTO MASIVO PARA MORENA CON PLAN C,1
"Cállate, por tu culpa anularé mi voto, globalista al servicio de los judios de la elite !!!",0
Sera un honor votar por la doctora @Claudiashein,1
Jamás volvería a votar por algún candidato de Morena y menos por @Claudiashein la títere de @lopezobrador_,0
Claro  hay que votar por Claudia.,1
"A ver ciudadanos de Coahuila, dice Claudia que hay les encarga su voto, para quitarles presupuesto, así que ya saben por quien no votar!!!!!",0
Si @Claudiashein gana la #EncuestadeMorena la verdad sería un retroceso en el logro del 2018.,0
"Felicidades @Claudiashein nunca jamás en latino América gobiernos represores, manipuladores, violadores al estado de derecho, mucho menos socialista y comunistas. Por eso hay que votar por @XochitlGalvez",0
"A nadie le interesa tu opinion traidor a la patria. Y sí te exige o presiona López ""incitar al odio"" en contra de una persona como retribución a tu pago. Ni modos, el  RIDÍCULO lo haces solito...México se reserva el derecho de votar por ti para un puesto en el futuro. PENDIENTES",0
Yo voy a votar por @Claudiashein que si está preparada para llevar un país y ella representa la continuidad de todo lo que ha hecho ,1
"Yo voy a votar por la que va aumentar la pensión de ayuda a los adultos mayores, estudiantes y discapacitados, también quien va aumentar el salario mínimo, también voy a votar para que se realice la reforma del Poder Judicial, por eso mi voto es por @Claudiashein ",1
Doctora cuente con los #Mexicans de el Rio Grande Valley #RGV los #Texans y en general en #USA nos brincamos el charco a votar. Usted ya es #ClaudiaPresidenta2024,1
Presidenta 2024! Mi voto y confianza para usted. Lo demás y esos demás salen sobrando.,1
"Claudia Sheinbaum @Claudiashein es una tramposa corrupta, no será presidenta.",0
#AFRAC apoya a la futura presidenta Claudia Sheinbaum,1
"Nunca vas a llegar a ser presidenta, el pueblo no es idiota y somos muchos los Mexicanos que vamos a votar por sacarlos del poder. Bola de corruptos, ladrones e incompetentes! #ladycalca",0
"Que poca carisma, pero eso lo perdonaría, es la incompetencia de @Claudiashein lo que me hará anular mi voto para el 2024",0
"Yo decidí anular mi voto en el 24, no me haré responsable de la incompetencia de @Claudiashein además de que su futuro fracaso ocasionara lo mismo que en Brasil, su incompetencia traerá a la extrema derecha a este país, es una globalista !!!",0
Yo estoy a muerte con el movimiento y la 4T y votare por @PartidoMorenaMx pero en esa boleta presidencial voy a anular el voto y no votare por @Claudiashein y legitimar el robo a @m_ebrard  y poner a alguien sin la capacidad para llevar al país adelante 😌😌,0
"Anular el voto no queremos a Claudia, se acabó la 4T",0
Asi es... voto inteligente! Anular la presidencia espurio como la de perú @Claudiashein,0
